k,mu,R,cert,discovery_minus_cert,relative_cert_gap,cert_midpoint,cert_status,log_k,ceiling,headroom,log_k_minus_R,c,weight,rank_num,rank_den,cond,nit,moved_log_c,gate_failed_coords,spread,c_log_k,E_S,sd_S,eta
8800,1,8.86485913,8.8646759118,0.00018321820000011257,2.0667920077835752e-05,8.8646844186,PASS,9.082507,9.08353922,0.21868,0.217648,0.11233588,1.0,1,1,1.0,55,0.0057,1,1.0,1.0202914165,1.15355602777,0.33489579457,-0.458518829625
8900,1,8.87600117,8.8758160474,0.00018512259999958758,2.08565317257149e-05,8.8758245361,PASS,9.09380656,9.09482845,0.218827,0.217805,0.11219117,1.0,1,1,1.0,60,0.0056,0,1.0,1.02024479724,1.15348229629,0.334682793295,-0.458590340958
9000,1,8.88701918,8.8868321724,0.00018700759999923378,2.104278118585469e-05,8.8868406433,PASS,9.10497986,9.10599163,0.218972,0.217961,0.11204848,1.0,1,1,1.0,62,0.0056,0,1.0,1.02019915333,1.15340973656,0.33447260539,-0.458661588672
9100,1,8.89791591,8.8977270105,0.00018889949999945088,2.122963420986644e-05,8.897735464,PASS,9.11602969,9.11703156,0.219116,0.218114,0.11190791,1.0,1,1,1.0,74,0.0056,1,1.0,1.02015583039,1.15333972064,0.334265387467,-0.458736460271
9200,1,8.90869401,8.9085032374,0.00019077259999988883,2.141420502104425e-05,8.9085116735,PASS,9.12695876,9.12795093,0.219257,0.218265,0.11176888,1.0,1,1,1.0,64,0.0056,0,1.0,1.02010995875,1.15326727553,0.334060281464,-0.458801252448
9300,1,8.91935602,8.9191633899,0.00019263010000081238,2.1596861877569986e-05,8.9191718089,PASS,9.13776968,9.13875234,0.219396,0.218414,0.11163172,1.0,1,1,1.0,66,0.0055,1,1.0,1.02006494625,1.15319587814,0.333857786041,-0.458865674378
9400,1,8.92990441,8.9297099223,0.00019448769999996784,2.177937087234373e-05,8.9297183247,PASS,9.14846497,9.14943831,0.219534,0.218561,0.11149674,1.0,1,1,1.0,60,0.0055,0,1.0,1.02002401996,1.15312882232,0.333658371099,-0.458938949478
9500,1,8.94034161,8.9401452691,0.0001963409000005356,2.196123018173302e-05,8.940153655,PASS,9.15904708,9.16001129,0.21967,0.218705,0.11136329,1.0,1,1,1.0,62,0.0055,0,1.0,1.01998161583,1.15306042482,0.333461072051,-0.459005376197
9600,1,8.95066993,8.9504717486,0.00019818140000005258,2.2141515836240046e-05,8.9504801181,PASS,9.16951838,9.17047364,0.219804,0.218848,0.11123143,1.0,1,1,1.0,63,0.0055,0,1.0,1.01993864154,1.15299161042,0.333265984132,-0.459067584756
9700,1,8.96089159,8.9606915862,0.0002000037999998483,2.2319631700828146e-05,8.9606999397,PASS,9.17988116,9.18082764,0.219936,0.21899,0.1111015,1.0,1,1,1.0,59,0.0054,0,1.0,1.0198985672,1.15292592177,0.333073621897,-0.459135493522
9800,1,8.97100882,8.9708069876,0.000201832400000157,2.249829467898762e-05,8.9708153253,PASS,9.19013766,9.19107553,0.220067,0.219129,0.11097309,1.0,1,1,1.0,56,0.0054,0,1.0,1.01985797417,1.15285986536,0.332883377498,-0.459199454501
9900,1,8.98102371,8.9808200616,0.00020364840000119955,2.2675410574236145e-05,8.9808283836,PASS,9.20029004,9.20121945,0.220196,0.219266,0.11084628,1.0,1,1,1.0,60,0.0054,0,1.0,1.01981792543,1.1527945252,0.332695375992,-0.459262545341
10000,1,8.99093831,8.990732859,0.00020545100000113337,2.2850896415630435e-05,8.9907411656,PASS,9.21034037,9.2112615,0.220323,0.219402,0.11072103,1.0,1,1,1.0,59,0.0054,0,1.0,1.01977837264,1.15272985023,0.332509562659,-0.459324685306
